"b","edge","from","to","weight"
7,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.116
7,"ENMO_log__to__MOE","ENMO_log","MOE",-0.164
7,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.034
7,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.132
8,"PIJN__to__PIJN","PIJN","PIJN",0.406
8,"PIJN__to__MOE","PIJN","MOE",-0.023
8,"PIJN__to__STRESS","PIJN","STRESS",-0.059
8,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.003
8,"MOE__to__PIJN","MOE","PIJN",-0.049
8,"MOE__to__MOE","MOE","MOE",0.319
8,"MOE__to__STRESS","MOE","STRESS",-0.076
8,"MOE__to__ENMO_log","MOE","ENMO_log",-0.008
8,"STRESS__to__PIJN","STRESS","PIJN",0.078
8,"STRESS__to__MOE","STRESS","MOE",0.117
8,"STRESS__to__STRESS","STRESS","STRESS",0.277
8,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.12
8,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.032
8,"ENMO_log__to__MOE","ENMO_log","MOE",-0.07
8,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.016
8,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.202
9,"PIJN__to__PIJN","PIJN","PIJN",0.355
9,"PIJN__to__MOE","PIJN","MOE",0.094
9,"PIJN__to__STRESS","PIJN","STRESS",0.044
9,"PIJN__to__ENMO_log","PIJN","ENMO_log",0.037
9,"MOE__to__PIJN","MOE","PIJN",0.051
9,"MOE__to__MOE","MOE","MOE",0.295
9,"MOE__to__STRESS","MOE","STRESS",-0.056
9,"MOE__to__ENMO_log","MOE","ENMO_log",-0.028
9,"STRESS__to__PIJN","STRESS","PIJN",0.107
9,"STRESS__to__MOE","STRESS","MOE",0.03
9,"STRESS__to__STRESS","STRESS","STRESS",0.31
9,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.016
9,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.036
9,"ENMO_log__to__MOE","ENMO_log","MOE",-0.167
9,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.042
9,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.228
10,"PIJN__to__PIJN","PIJN","PIJN",0.454
10,"PIJN__to__MOE","PIJN","MOE",0.031
10,"PIJN__to__STRESS","PIJN","STRESS",0.088
10,"PIJN__to__ENMO_log","PIJN","ENMO_log",0.004
10,"MOE__to__PIJN","MOE","PIJN",-0.035
10,"MOE__to__MOE","MOE","MOE",0.364
10,"MOE__to__STRESS","MOE","STRESS",-0.015
10,"MOE__to__ENMO_log","MOE","ENMO_log",-0.17
10,"STRESS__to__PIJN","STRESS","PIJN",0.063
10,"STRESS__to__MOE","STRESS","MOE",0.015
10,"STRESS__to__STRESS","STRESS","STRESS",0.304
10,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.131
10,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.162
10,"ENMO_log__to__MOE","ENMO_log","MOE",-0.195
10,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.048
10,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.217
11,"PIJN__to__PIJN","PIJN","PIJN",0.381
11,"PIJN__to__MOE","PIJN","MOE",0.062
11,"PIJN__to__STRESS","PIJN","STRESS",0.033
11,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.05
11,"MOE__to__PIJN","MOE","PIJN",0.014
11,"MOE__to__MOE","MOE","MOE",0.324
11,"MOE__to__STRESS","MOE","STRESS",-0.082
11,"MOE__to__ENMO_log","MOE","ENMO_log",-0.084
11,"STRESS__to__PIJN","STRESS","PIJN",0.046
11,"STRESS__to__MOE","STRESS","MOE",0.033
11,"STRESS__to__STRESS","STRESS","STRESS",0.386
11,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.029
11,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.095
11,"ENMO_log__to__MOE","ENMO_log","MOE",-0.206
11,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.008
11,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.151
12,"PIJN__to__PIJN","PIJN","PIJN",0.411
12,"PIJN__to__MOE","PIJN","MOE",0.089
12,"PIJN__to__STRESS","PIJN","STRESS",0.021
12,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.02
12,"MOE__to__PIJN","MOE","PIJN",-0.011
12,"MOE__to__MOE","MOE","MOE",0.287
12,"MOE__to__STRESS","MOE","STRESS",-0.147
12,"MOE__to__ENMO_log","MOE","ENMO_log",-0.048
12,"STRESS__to__PIJN","STRESS","PIJN",0.066
12,"STRESS__to__MOE","STRESS","MOE",0.037
12,"STRESS__to__STRESS","STRESS","STRESS",0.381
12,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.113
12,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.07
12,"ENMO_log__to__MOE","ENMO_log","MOE",-0.098
12,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.032
12,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.203
13,"PIJN__to__PIJN","PIJN","PIJN",0.384
13,"PIJN__to__MOE","PIJN","MOE",0.173
13,"PIJN__to__STRESS","PIJN","STRESS",-0.016
13,"PIJN__to__ENMO_log","PIJN","ENMO_log",0.05
13,"MOE__to__PIJN","MOE","PIJN",0.034
13,"MOE__to__MOE","MOE","MOE",0.206
13,"MOE__to__STRESS","MOE","STRESS",-0.113
13,"MOE__to__ENMO_log","MOE","ENMO_log",-0.068
13,"STRESS__to__PIJN","STRESS","PIJN",0.039
13,"STRESS__to__MOE","STRESS","MOE",0.048
13,"STRESS__to__STRESS","STRESS","STRESS",0.311
13,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.038
13,"ENMO_log__to__PIJN","ENMO_log","PIJN",0.011
13,"ENMO_log__to__MOE","ENMO_log","MOE",-0.126
13,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.032
13,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.272
14,"PIJN__to__PIJN","PIJN","PIJN",0.361
14,"PIJN__to__MOE","PIJN","MOE",0.129
14,"PIJN__to__STRESS","PIJN","STRESS",0.114
14,"PIJN__to__ENMO_log","PIJN","ENMO_log",0.051
14,"MOE__to__PIJN","MOE","PIJN",0.026
14,"MOE__to__MOE","MOE","MOE",0.312
14,"MOE__to__STRESS","MOE","STRESS",-0.052
14,"MOE__to__ENMO_log","MOE","ENMO_log",-0.115
14,"STRESS__to__PIJN","STRESS","PIJN",0.089
14,"STRESS__to__MOE","STRESS","MOE",0.065
14,"STRESS__to__STRESS","STRESS","STRESS",0.314
14,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.049
14,"ENMO_log__to__PIJN","ENMO_log","PIJN",-0.023
14,"ENMO_log__to__MOE","ENMO_log","MOE",-0.068
14,"ENMO_log__to__STRESS","ENMO_log","STRESS",0.01
14,"ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.273
15,"PIJN__to__PIJN","PIJN","PIJN",0.402
15,"PIJN__to__MOE","PIJN","MOE",0.067
15,"PIJN__to__STRESS","PIJN","STRESS",0.032
15,"PIJN__to__ENMO_log","PIJN","ENMO_log",-0.038
15,"MOE__to__PIJN","MOE","PIJN",0.082
15,"MOE__to__MOE","MOE","MOE",0.316
15,"MOE__to__STRESS","MOE","STRESS",-0.08
15,"MOE__to__ENMO_log","MOE","ENMO_log",-0.077
15,"STRESS__to__PIJN","STRESS","PIJN",-0.027
15,"STRESS__to__MOE","STRESS","MOE",0.003
15,"STRESS__to__STRESS","STRESS","STRESS",0.382
15,"STRESS__to__ENMO_log","STRESS","ENMO_log",0.065
