"dropped","edge","from","to","weight","P"
"P05","ENMO_log__to__STRESS","ENMO_log","STRESS",0.024,0.43
"P05","ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.168,0.003
"P06","PIJN__to__PIJN","PIJN","PIJN",0.362,0
"P06","PIJN__to__MOE","PIJN","MOE",0.055,0.268
"P06","PIJN__to__STRESS","PIJN","STRESS",0.027,0.632
"P06","PIJN__to__ENMO_log","PIJN","ENMO_log",-0.008,0.871
"P06","MOE__to__PIJN","MOE","PIJN",0.013,0.769
"P06","MOE__to__MOE","MOE","MOE",0.289,0
"P06","MOE__to__STRESS","MOE","STRESS",-0.071,0.086
"P06","MOE__to__ENMO_log","MOE","ENMO_log",-0.038,0.44
"P06","STRESS__to__PIJN","STRESS","PIJN",0.084,0.026
"P06","STRESS__to__MOE","STRESS","MOE",0.051,0.129
"P06","STRESS__to__STRESS","STRESS","STRESS",0.336,0
"P06","STRESS__to__ENMO_log","STRESS","ENMO_log",0.039,0.407
"P06","ENMO_log__to__PIJN","ENMO_log","PIJN",-0.065,0.236
"P06","ENMO_log__to__MOE","ENMO_log","MOE",-0.143,0.009
"P06","ENMO_log__to__STRESS","ENMO_log","STRESS",0.028,0.369
"P06","ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.164,0.004
"P07","PIJN__to__PIJN","PIJN","PIJN",0.366,0
"P07","PIJN__to__MOE","PIJN","MOE",0.06,0.226
"P07","PIJN__to__STRESS","PIJN","STRESS",0.035,0.521
"P07","PIJN__to__ENMO_log","PIJN","ENMO_log",-0.003,0.96
"P07","MOE__to__PIJN","MOE","PIJN",0.014,0.76
"P07","MOE__to__MOE","MOE","MOE",0.289,0
"P07","MOE__to__STRESS","MOE","STRESS",-0.071,0.076
"P07","MOE__to__ENMO_log","MOE","ENMO_log",-0.065,0.193
"P07","STRESS__to__PIJN","STRESS","PIJN",0.082,0.027
"P07","STRESS__to__MOE","STRESS","MOE",0.058,0.078
"P07","STRESS__to__STRESS","STRESS","STRESS",0.333,0
"P07","STRESS__to__ENMO_log","STRESS","ENMO_log",0.069,0.161
"P07","ENMO_log__to__PIJN","ENMO_log","PIJN",-0.066,0.222
"P07","ENMO_log__to__MOE","ENMO_log","MOE",-0.13,0.018
"P07","ENMO_log__to__STRESS","ENMO_log","STRESS",0.028,0.345
"P07","ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.155,0.006
"P08","PIJN__to__PIJN","PIJN","PIJN",0.358,0
"P08","PIJN__to__MOE","PIJN","MOE",0.068,0.178
"P08","PIJN__to__STRESS","PIJN","STRESS",0.019,0.729
"P08","PIJN__to__ENMO_log","PIJN","ENMO_log",-0.003,0.957
"P08","MOE__to__PIJN","MOE","PIJN",0.02,0.649
"P08","MOE__to__MOE","MOE","MOE",0.283,0
"P08","MOE__to__STRESS","MOE","STRESS",-0.06,0.126
"P08","MOE__to__ENMO_log","MOE","ENMO_log",-0.059,0.228
"P08","STRESS__to__PIJN","STRESS","PIJN",0.071,0.049
"P08","STRESS__to__MOE","STRESS","MOE",0.054,0.104
"P08","STRESS__to__STRESS","STRESS","STRESS",0.32,0
"P08","STRESS__to__ENMO_log","STRESS","ENMO_log",0.07,0.16
"P08","ENMO_log__to__PIJN","ENMO_log","PIJN",-0.048,0.375
"P08","ENMO_log__to__MOE","ENMO_log","MOE",-0.128,0.021
"P08","ENMO_log__to__STRESS","ENMO_log","STRESS",0.033,0.26
"P08","ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.165,0.003
"P09","PIJN__to__PIJN","PIJN","PIJN",0.38,0
"P09","PIJN__to__MOE","PIJN","MOE",0.072,0.156
"P09","PIJN__to__STRESS","PIJN","STRESS",0.048,0.371
"P09","PIJN__to__ENMO_log","PIJN","ENMO_log",0,0.995
"P09","MOE__to__PIJN","MOE","PIJN",0.009,0.842
"P09","MOE__to__MOE","MOE","MOE",0.279,0
"P09","MOE__to__STRESS","MOE","STRESS",-0.078,0.056
"P09","MOE__to__ENMO_log","MOE","ENMO_log",-0.073,0.147
"P09","STRESS__to__PIJN","STRESS","PIJN",0.081,0.03
"P09","STRESS__to__MOE","STRESS","MOE",0.046,0.158
"P09","STRESS__to__STRESS","STRESS","STRESS",0.331,0
"P09","STRESS__to__ENMO_log","STRESS","ENMO_log",0.052,0.288
"P09","ENMO_log__to__PIJN","ENMO_log","PIJN",-0.075,0.14
"P09","ENMO_log__to__MOE","ENMO_log","MOE",-0.149,0.004
"P09","ENMO_log__to__STRESS","ENMO_log","STRESS",0.022,0.465
"P09","ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.165,0.003
"P10","PIJN__to__PIJN","PIJN","PIJN",0.365,0
"P10","PIJN__to__MOE","PIJN","MOE",0.068,0.177
"P10","PIJN__to__STRESS","PIJN","STRESS",0.032,0.576
"P10","PIJN__to__ENMO_log","PIJN","ENMO_log",-0.008,0.881
"P10","MOE__to__PIJN","MOE","PIJN",0.014,0.754
"P10","MOE__to__MOE","MOE","MOE",0.285,0
"P10","MOE__to__STRESS","MOE","STRESS",-0.075,0.066
"P10","MOE__to__ENMO_log","MOE","ENMO_log",-0.058,0.247
"P10","STRESS__to__PIJN","STRESS","PIJN",0.077,0.031
"P10","STRESS__to__MOE","STRESS","MOE",0.052,0.104
"P10","STRESS__to__STRESS","STRESS","STRESS",0.335,0
"P10","STRESS__to__ENMO_log","STRESS","ENMO_log",0.064,0.187
"P10","ENMO_log__to__PIJN","ENMO_log","PIJN",-0.054,0.316
"P10","ENMO_log__to__MOE","ENMO_log","MOE",-0.131,0.017
"P10","ENMO_log__to__STRESS","ENMO_log","STRESS",0.027,0.374
"P10","ENMO_log__to__ENMO_log","ENMO_log","ENMO_log",0.165,0.003
"P11","PIJN__to__PIJN","PIJN","PIJN",0.363,0
"P11","PIJN__to__MOE","PIJN","MOE",0.064,0.196
"P11","PIJN__to__STRESS","PIJN","STRESS",0.031,0.58
"P11","PIJN__to__ENMO_log","PIJN","ENMO_log",-0.008,0.875
"P11","MOE__to__PIJN","MOE","PIJN",0.013,0.774
